Date,Open,High,Low,Close,VWAP,Volume
2020-10-26,343.7,344.9,336.7,339.8,341.19,8695206
2020-10-27,338.3,339.75,331.05,334.05,333.74,9910942
2020-10-28,335.75,339.85,334.4,335.65,337.29,8984606
2020-10-29,333.65,340.0,331.15,337.45,335.96,7239961
2020-10-30,339.25,345.0,338.45,340.7,341.18,11496123
2020-11-02,341.75,341.75,333.7,334.8,336.22,4831133
2020-11-03,335.5,339.45,332.65,335.65,336.36,4757798
2020-11-04,338.0,351.55,337.5,342.95,345.59,15381900
2020-11-05,347.95,349.0,344.05,345.4,346.41,5602436
2020-11-06,346.15,349.0,343.4,345.75,344.92,5457793
2020-11-09,350.0,352.8,347.0,351.95,350.46,7107285
2020-11-10,350.75,350.75,341.15,342.3,343.63,9049620
2020-11-11,344.5,347.75,341.5,346.75,344.53,7637879
2020-11-12,348.0,350.7,344.3,345.55,346.81,5114424
2020-11-13,344.5,346.25,342.7,344.15,344.04,4727888
2020-11-14,347.15,347.55,343.1,345.45,345.82,749242
2020-11-17,347.0,350.5,343.7,348.7,347.99,6653834
2020-11-18,349.75,352.35,341.8,345.3,345.38,7407808
2020-11-19,347.7,349.5,341.6,342.6,345.72,11056851
2020-11-20,343.8,348.5,342.05,346.3,345.96,6181393
2020-11-23,348.0,357.4,346.0,355.85,352.34,10333347
2020-11-24,359.0,361.4,355.0,355.5,357.97,10092441
2020-11-25,357.9,358.8,349.55,350.0,352.95,6812338
2020-11-26,351.0,356.4,347.2,354.85,352.19,7366370
2020-11-27,354.85,357.5,347.85,350.5,351.8,12402084
2020-12-01,352.7,353.9,346.25,352.85,350.99,10693567
2020-12-02,354.45,360.3,354.2,358.9,357.61,9434077
2020-12-03,364.0,364.0,358.0,360.3,360.33,10697045
2020-12-04,361.1,362.4,359.0,360.8,360.69,7427393
2020-12-07,362.0,362.75,357.5,358.45,359.01,8392383
2020-12-08,360.3,365.0,358.4,363.7,361.67,11813301
2020-12-09,367.75,367.75,357.5,359.5,362.22,18137688
2020-12-10,356.2,358.0,352.75,355.9,355.84,6897397
2020-12-11,357.4,360.0,352.65,353.5,355.85,5863616
2020-12-14,353.5,354.55,347.1,349.35,349.28,11501839
2020-12-15,349.3,353.9,347.5,352.7,351.95,7231781
2020-12-16,353.9,358.95,353.2,358.4,356.44,6666272
2020-12-17,358.4,359.25,355.5,356.9,357.27,4165371
2020-12-18,358.95,365.8,357.5,363.55,362.94,17398081
2020-12-21,362.5,367.45,348.35,353.95,360.92,9665063
2020-12-22,354.0,365.7,349.45,364.2,357.14,8186039
2020-12-23,374.0,387.6,371.7,385.55,379.89,44874433
2020-12-24,386.45,386.7,378.65,382.2,382.71,12240172
2020-12-28,383.45,386.4,382.0,382.9,384.06,4725879
2020-12-29,384.0,390.5,383.1,385.0,387.04,11459126
2020-12-30,385.0,386.6,382.8,384.4,384.43,7188435
2020-12-31,381.2,387.6,381.2,386.25,385.2,6394605
2021-01-01,385.05,390.75,385.05,388.1,388.0,5042336
2021-01-04,390.0,397.95,387.8,396.4,393.91,9755721
2021-01-05,394.1,409.8,393.5,406.3,403.28,25156747
2021-01-06,405.0,417.4,403.3,406.4,410.04,22486300
2021-01-07,412.25,413.0,403.85,406.75,406.88,12344755
2021-01-08,407.5,432.65,407.25,430.2,423.56,40993230
2021-01-11,436.0,451.0,435.0,446.8,444.84,47334018
2021-01-12,447.95,460.75,442.4,457.7,451.3,22134465
2021-01-13,461.0,467.45,452.8,459.0,460.7,29190193
2021-01-14,452.0,466.0,430.0,454.35,450.54,71551807
2021-01-15,454.75,459.4,436.6,438.55,447.14,25307779
2021-01-18,441.0,445.0,429.1,431.55,438.58,21510587
2021-01-19,433.0,439.55,427.7,430.25,432.24,15677790
2021-01-20,434.0,447.85,433.0,444.95,443.71,24419679
2021-01-21,451.6,453.45,442.3,445.8,448.46,15911377
2021-01-22,447.45,452.0,440.45,444.75,445.22,11398812
2021-01-25,445.15,451.0,435.15,437.25,441.91,7380169
2021-01-27,438.0,454.75,437.25,446.45,449.19,29590210
2021-01-28,443.25,448.6,427.3,431.9,434.54,14812435
2021-01-29,437.4,437.7,415.55,417.9,425.79,15632421
2021-02-01,416.1,423.8,408.2,421.5,415.3,15081852
2021-02-02,428.0,435.55,423.65,428.35,427.93,13310498
2021-02-03,430.2,439.95,430.2,433.5,436.37,9897666
2021-02-04,433.5,436.9,428.25,429.9,430.85,7193299
2021-02-05,432.0,433.4,420.55,425.55,424.89,8679026
2021-02-08,430.35,437.7,426.3,435.3,431.95,12516340
2021-02-09,440.25,451.75,435.2,439.35,445.17,29474830
2021-02-10,442.0,444.15,435.0,439.0,438.83,10607735
2021-02-11,439.0,440.5,433.4,437.0,436.02,9237026
2021-02-12,440.0,449.2,439.6,442.0,444.59,19280834
2021-02-15,444.6,444.9,436.8,439.7,440.59,7844877
2021-02-16,446.0,447.8,433.8,437.55,440.41,12453798
2021-02-17,435.9,439.0,428.5,430.2,432.63,7390192
2021-02-18,430.3,436.65,429.35,432.95,432.81,8385736
2021-02-19,433.15,435.75,426.1,429.95,431.28,8478666
2021-02-22,430.7,432.85,416.0,418.7,422.91,10666087
2021-02-23,419.7,426.0,414.3,415.5,419.17,8992353
2021-02-24,417.7,425.8,414.75,423.1,419.2,5060297
2021-02-25,423.1,429.0,420.45,421.3,424.69,9110392
2021-02-26,417.95,419.85,408.0,410.3,413.09,11731941
2021-03-01,411.0,418.7,409.2,414.4,414.87,6421696
2021-03-02,419.7,433.1,418.25,430.4,426.86,14875234
2021-03-03,433.0,436.65,428.25,435.5,433.26,8782452
2021-03-04,428.9,444.3,427.5,438.8,439.03,12963797
2021-03-05,440.0,440.0,417.0,420.85,426.19,43931172
2021-03-08,425.1,425.15,415.55,416.9,418.53,12354838
2021-03-09,419.8,422.8,410.05,419.2,416.27,11905629
2021-03-10,426.1,430.7,423.0,426.7,427.09,17291368
2021-03-12,431.5,432.8,422.1,425.2,427.39,8960126
2021-03-15,424.8,428.6,417.8,426.35,424.52,7517124
2021-03-16,427.25,434.95,425.65,429.3,430.57,10673647
2021-03-17,429.0,435.5,417.7,419.65,427.84,12134812
2021-03-18,423.25,424.15,404.3,410.15,414.52,10082931
2021-03-19,408.95,413.65,399.45,410.5,408.79,16875402
2021-03-22,411.05,416.25,410.2,414.45,413.97,6622984
2021-03-23,417.7,423.4,412.7,415.5,416.98,11575194
2021-03-24,411.35,415.45,409.2,411.0,411.84,5140347
2021-03-25,410.7,411.7,397.75,399.65,402.63,12737129
2021-03-26,404.8,407.7,400.65,403.9,403.72,9033369
2021-03-30,405.0,420.45,405.0,418.1,413.6,13171390
2021-03-31,419.8,419.8,413.35,414.15,415.37,7445134
2021-04-01,418.85,422.85,414.35,416.4,417.72,7596943
2021-04-05,416.45,427.9,416.2,425.45,423.14,21216395
2021-04-06,427.95,428.9,422.35,427.15,425.99,8320520
2021-04-07,425.0,439.0,423.4,438.0,431.67,13867650
2021-04-08,441.95,445.95,440.0,442.1,442.94,12916614
2021-04-09,442.9,451.35,440.0,450.1,446.5,11699385
2021-04-12,450.0,450.1,429.4,432.6,435.75,15086267
2021-04-13,432.0,437.55,412.6,418.95,420.89,20420320
2021-04-15,418.9,434.45,415.0,430.7,428.6,26758891
2021-04-16,441.7,473.65,436.0,469.2,464.06,109361636
2021-04-19,463.0,477.95,461.1,472.75,470.56,43809855
2021-04-20,476.0,477.55,467.8,470.1,471.11,17730691
2021-04-22,471.6,494.5,471.6,486.65,486.53,42620929
2021-04-23,483.55,487.35,474.35,475.7,481.46,13596003
2021-04-26,479.4,483.85,477.0,480.3,479.77,9314644
2021-04-27,481.4,487.0,481.0,485.05,484.07,7209467
2021-04-28,485.85,493.2,481.25,489.3,487.55,9615534
2021-04-29,492.7,492.8,485.7,489.85,489.45,7641133
2021-04-30,491.5,511.8,489.3,492.75,501.42,29115571
2021-05-03,487.95,496.0,483.25,487.35,488.82,8599731
2021-05-04,487.3,488.3,477.8,481.95,482.16,8102429
2021-05-05,484.8,496.0,483.3,490.6,490.81,11856591
2021-05-06,493.7,514.8,487.25,512.3,506.32,24413544
2021-05-07,514.0,516.55,507.5,515.25,512.83,14666581
2021-05-10,517.6,528.5,513.25,525.95,521.17,12544472
2021-05-11,517.95,523.3,514.05,518.4,517.71,7649499
2021-05-12,519.95,522.55,504.85,507.6,512.01,7871107
2021-05-14,507.5,508.4,492.75,498.45,497.83,6799879
2021-05-17,498.45,503.7,495.0,499.8,500.11,5752650
2021-05-18,502.0,514.8,500.9,508.05,509.98,9380746
2021-05-19,508.3,517.8,505.15,511.65,512.88,7490396
2021-05-20,516.0,517.0,503.6,508.25,510.08,6292304
2021-05-21,510.0,515.9,509.15,512.7,512.84,5197503
2021-05-24,511.9,518.5,509.65,514.9,515.62,7436812
2021-05-25,517.4,524.85,515.7,517.55,520.01,7954564
2021-05-26,514.9,530.45,514.75,527.25,525.5,8823190
2021-05-27,527.25,545.0,525.05,540.9,539.19,29411126
2021-05-28,539.0,540.3,532.65,538.7,536.6,5878626
2021-05-31,538.7,540.55,531.05,539.05,537.4,5386205
2021-06-01,541.9,547.0,539.65,542.8,543.11,5965044
2021-06-02,541.95,545.0,533.0,543.0,539.1,4713568
2021-06-03,545.7,549.9,538.3,539.05,541.49,5637991
2021-06-04,543.5,545.5,540.45,541.2,542.62,4771716
2021-06-07,544.7,551.2,542.7,548.25,548.14,4348433
2021-06-08,550.0,555.5,549.15,550.6,552.19,5429734
2021-06-09,553.0,553.25,542.2,544.2,547.74,6206899
2021-06-10,545.55,555.5,545.55,554.25,552.94,5720744
2021-06-11,555.0,558.95,551.5,554.3,555.3,5612359
2021-06-14,553.9,562.8,553.0,561.6,559.27,5952159
2021-06-15,561.5,564.0,557.0,557.9,560.54,3837245
2021-06-16,559.9,562.55,553.5,555.25,557.94,5497269
2021-06-17,552.5,561.5,549.55,558.7,555.66,4399348
2021-06-18,560.0,561.95,546.05,549.8,551.95,10007116
2021-06-21,544.75,544.75,535.2,542.15,540.03,5390821
2021-06-22,545.25,559.95,542.3,556.55,553.47,5752921
2021-06-23,560.0,560.85,538.4,540.15,545.31,11242702
2021-06-24,541.9,550.55,539.2,549.05,546.31,8668680
2021-06-25,549.85,551.0,540.5,547.5,546.25,5039822
2021-06-28,549.75,550.8,544.25,547.4,547.78,3259830
2021-06-29,547.8,553.75,541.0,542.6,546.44,7927880
2021-06-30,544.85,548.0,542.0,545.65,545.7,4293322
2021-07-01,545.0,545.9,538.0,539.35,540.69,4329374
2021-07-02,540.1,542.3,533.6,538.6,537.3,4157307
2021-07-05,542.9,542.9,535.55,536.35,537.49,3439169
2021-07-06,536.55,538.3,531.85,532.6,533.81,4193441
2021-07-07,534.05,536.4,525.1,532.15,531.49,5377687
2021-07-08,533.9,536.95,528.0,531.0,532.33,4565510
2021-07-09,527.4,530.95,523.25,525.8,526.28,5724608
2021-07-12,530.75,532.15,523.2,525.85,528.04,3865556
2021-07-13,528.0,529.5,522.6,524.85,525.64,4172358
2021-07-14,526.25,563.3,525.6,561.7,551.0,29348083
2021-07-15,561.0,579.65,559.0,575.9,572.71,31066201
2021-07-16,580.0,589.25,568.3,577.75,577.56,36907827
2021-07-19,572.55,584.0,570.0,573.8,577.28,10857851
2021-07-20,575.7,578.15,561.55,568.1,567.43,10523527
2021-07-22,577.1,585.0,571.0,584.2,579.61,12043385
2021-07-23,586.5,601.8,583.7,599.15,594.86,14057455
2021-07-26,600.1,600.5,588.25,590.45,594.0,6099903
2021-07-27,588.9,594.65,584.15,591.45,588.79,3983137
2021-07-28,590.95,593.35,583.0,591.95,587.86,4573930
2021-07-29,593.6,598.0,587.9,590.45,593.23,5834470
2021-07-30,588.85,593.0,585.0,587.15,589.07,3178206
2021-08-02,588.2,595.4,582.25,592.25,588.64,4623898
2021-08-03,604.0,604.0,594.15,599.4,597.75,5165607
2021-08-04,603.5,604.0,594.3,596.8,597.91,4509356
2021-08-05,597.5,614.5,597.5,600.9,606.72,11294364
2021-08-06,603.75,606.4,596.3,598.0,601.42,5270200
2021-08-09,600.0,606.0,595.5,596.8,599.75,4646751
2021-08-10,598.4,608.95,593.1,603.85,603.0,7027782
2021-08-11,601.9,606.5,598.45,601.25,601.72,4282513
2021-08-12,602.0,608.9,600.65,605.85,605.08,3952508
2021-08-13,606.0,620.45,606.0,615.5,614.1,8364684
2021-08-16,616.1,620.9,610.5,614.05,615.39,3572426
2021-08-17,613.75,637.05,611.2,634.9,626.66,11822772
2021-08-18,635.75,639.2,624.6,629.4,631.97,6923577
2021-08-20,622.5,631.95,618.0,620.05,623.36,6170693
2021-08-23,626.0,636.95,623.5,628.85,630.46,7036375
2021-08-24,636.0,636.0,624.1,633.55,630.64,4483718
2021-08-25,635.0,642.8,629.55,631.65,636.31,6407718
2021-08-26,632.2,638.5,626.0,628.95,631.86,4208351
2021-08-27,629.5,636.0,625.3,634.95,632.11,4371554
2021-08-30,635.95,639.5,630.55,632.45,633.87,4371855
2021-08-31,634.6,642.55,628.9,640.95,637.51,7795908
2021-09-01,643.8,647.35,635.25,642.05,641.38,4725222
2021-09-02,645.0,657.0,640.75,651.45,648.56,4538778
2021-09-03,653.0,656.7,649.5,655.1,653.68,3774970
2021-09-06,656.65,688.7,656.65,686.45,675.53,12338416
2021-09-07,690.0,690.0,672.75,674.25,679.16,6406109
2021-09-08,675.4,675.4,660.0,662.2,664.96,6716231
2021-09-09,660.9,664.55,654.0,662.35,660.1,5805730
2021-09-13,662.35,671.85,657.85,670.75,667.33,5588789
2021-09-14,671.0,675.7,670.0,673.45,673.41,3661338
2021-09-15,674.0,680.55,670.0,674.05,675.03,4145416
2021-09-16,679.75,680.75,665.0,667.85,670.77,4657846
2021-09-17,671.4,674.4,662.75,665.25,668.16,5407781
2021-09-20,657.75,670.5,653.4,662.5,664.4,4546430
2021-09-21,660.5,669.0,657.1,667.6,663.15,3683551
2021-09-22,669.0,674.5,663.0,668.15,668.59,4791652
2021-09-23,672.9,677.0,671.4,674.3,674.63,3231293
2021-09-24,680.5,699.15,675.0,676.5,687.0,12126588
2021-09-27,678.05,678.35,651.0,653.9,658.22,8399082
2021-09-28,653.9,653.9,635.25,639.6,642.5,8112462
2021-09-29,629.95,646.5,627.35,640.75,636.66,8839566
2021-09-30,638.75,646.75,632.55,634.1,638.65,6013959
2021-10-01,634.8,639.75,630.2,636.25,635.17,4208854
2021-10-04,639.9,643.6,635.95,641.05,638.84,5247122
2021-10-05,636.45,649.5,634.05,646.85,641.56,5456074
2021-10-06,650.4,650.45,634.4,635.75,640.73,4836599
2021-10-07,639.0,648.55,636.9,642.95,643.86,3724343
2021-10-08,646.15,667.55,645.0,661.15,659.07,11045983
2021-10-11,648.95,666.3,635.0,652.8,651.74,10211466
2021-10-12,652.0,662.4,642.55,659.1,653.44,9340216
2021-10-13,665.0,674.7,656.0,672.6,664.89,9462941
2021-10-14,697.0,739.85,695.0,708.25,717.07,59188803
2021-10-18,719.0,720.8,702.4,709.75,711.39,10599446
2021-10-19,717.1,729.95,708.0,711.55,721.38,10932574
2021-10-20,713.6,722.75,695.75,701.95,705.96,8054391
2021-10-21,708.95,709.0,681.7,696.3,694.67,7958456
2021-10-22,701.75,705.5,678.25,682.4,689.25,5379151
